year,app Gen,qual Gen ,app OBC,qual OBC,app SC,qual SC,app ST,qual ST,Fee per sem
2011,266853,8010,138115,2589,45182,1951,18130,646,25000
2012,277931,14682,136570,4853,46610,3465,18540,1112,25000
2013,48798,12744,42271,4244,17784,2990,7118,856,25000
2014,50123,15050,48222,6356,20331,4475,8319,1271,45000
2015,47186,16230,43570,5911,18786,2570,7736,1745,45000
2016,59759,18963,54187,7872,24195,7339,2396,802,45000
2017,65754,22959,58675,9437,24932,13527,10179,4850,100000
2018,61380,17756,58252,6964,24765,5480,10761,1788,100000
2019,73095,19202,58141,7651,25439,8758,10644,3094,100000
2020,63354,23168,52785,9349,23775,7869,10924,2818,100000
2021,58380,22291,48264,9060,23393,7747,10662,2764,100000
2022,62284,20309,56484,9341,23393,7998,11429,3064,100000
2023,70396,19443,67344,9209,29188,11021,13444,4096,100000
2024,68343,19827,67283,9499,29639,13835,13935,5087,100000
2025,69071,24011,67519,12822,29765,12528,14073,5017,100000
