Year,IIT Name,Male,Female,Total
2011,Bhubaneswar,109,7,116
2011,Bombay,798,75,873
2011,Delhi,734,108,842
2011,Gandhinagar,105,10,115
2011,Guwahati,543,57,600
2011,Hyderabad,116,22,138
2011,Indore,102,16,118
2011,Kanpur,736,72,808
2011,Kharagpur,1155,134,1289
2011,Madras,696,126,822
2011,Mandi,108,10,118
2011,Patna,109,8,117
2011,Jodhpur,143,13,156
2011,Roorkee,982,111,1093
2011,Ropar,109,9,118
2011,Dhanbad,914,57,971
2011,BHU,902,91,993
2012,Bhubaneswar,108,10,118
2012,Bombay,793,88,881
2012,Delhi,757,91,848
2012,Gandhinagar,109,9,118
2012,Guwahati,595,56,651
2012,Hyderabad,176,23,199
2012,Indore,97,22,119
2012,Kanpur,753,72,825
2012,Kharagpur,1189,143,1332
2012,Madras,729,104,833
2012,Mandi,107,12,119
2012,Patna,110,9,119
2012,Jodhpur,142,16,158
2012,Roorkee,1025,124,1149
2012,Ropar,112,8,120
2012,Dhanbad,878,67,945
2012,BHU,959,56,651
2013,Bhubaneswar,138,18,156
2013,Bombay,788,87,875
2013,Delhi,759,84,843
2013,Gandhinagar,126,12,138
2013,Guwahati,611,43,654
2013,Hyderabad,172,33,205
2013,Indore,106,14,120
2013,Kanpur,735,83,818
2013,Kharagpur,1179,129,1308
2013,Madras,732,96,828
2013,Mandi,108,10,118
2013,Patna,188,11,199
2013,Jodhpur,178,19,197
2013,Roorkee,965,113,1078
2013,Ropar,116,4,120
2013,Dhanbad,938,54,992
2013,BHU,971,98,1069
2014,Bhubaneswar,162,18,180
2014,Bombay,801,79,880
2014,Delhi,768,83,851
2014,Gandhinagar,136,15,151
2014,Guwahati,609,53,662
2014,Hyderabad,170,50,220
2014,Indore,109,11,120
2014,Kanpur,767,60,827
2014,Kharagpur,1221,120,1341
2014,Madras,733,105,838
2014,Mandi,114,6,120
2014,Patna,181,19,200
2014,Jodhpur,143,17,160
2014,Roorkee,972,95,1067
2014,Ropar,112,8,120
2014,Dhanbad,906,58,964
2014,BHU,1030,64,1094
2015,Bhubaneswar,162,17,179
2015,Bombay,776,92,868
2015,Delhi,758,95,853
2015,Gandhinagar,132,17,149
2015,Guwahati,605,56,661
2015,Hyderabad,194,26,220
2015,Indore,111,7,118
2015,Kanpur,786,68,854
2015,Kharagpur,1223,118,1341
2015,Madras,701,138,839
2015,Mandi,136,12,148
2015,Patna,196,4,200
2015,Jodhpur,116,4,120
2015,Roorkee,950,80,1030
2015,Ropar,123,7,130
2015,Dhanbad,877,48,925
2015,BHU,982,81,1063
2015,Palakkad,112,6,118
2015,Tirupati,35,8,43
2016,Bhubaneswar,244,16,260
2016,Bombay,834,71,905
2016,Delhi,775,78,853
2016,Gandhinagar,161,19,180
2016,Guwahati,573,42,615
2016,Hyderabad,209,31,240
2016,Indore,236,24,260
2016,Kanpur,777,50,827
2016,Kharagpur,1231,111,1342
2016,Madras,738,101,839
2016,Mandi,114,6,120
2016,Patna,191,9,200
2016,Jodhpur,110,10,120
2016,Roorkee,884,84,968
2016,Ropar,143,12,155
2016,Dhanbad,865,47,912
2016,BHU,1020,70,1090
2016,Palakkad,113,7,120
2016,Bhilai,106,14,120
2016,Goa,82,8,90
2016,Tirupati,100,20,120
2016,Jammu,84,6,90
2016,Dharwad,109,11,120
2017,Bhubaneswar,313,31,344
2017,Bombay,829,100,929
2017,Delhi,762,90,852
2017,Gandhinagar,160,17,177
2017,Guwahati,602,41,643
2017,Hyderabad,242,43,285
2017,Indore,237,19,256
2017,Kanpur,772,54,826
2017,Kharagpur,1222,110,1332
2017,Madras,718,120,838
2017,Mandi,127,22,149
2017,Patna,214,7,221
2017,Jodhpur,161,19,180
2017,Roorkee,881,91,972
2017,Ropar,245,14,259
2017,Dhanbad,830,61,891
2017,BHU,973,86,1059
2017,Palakkad,100,19,119
2017,Bhilai,108,10,118
2017,Goa,81,8,89
2017,Tirupati,97,17,114
2017,Jammu,104,3,107
2017,Dharwad,105,13,118
2018,Bhubaneswar,308,59,367
2018,Bombay,868,159,1027
2018,Delhi,768,144,912
2018,Gandhinagar,160,30,190
2018,Guwahati,596,104,700
2018,Hyderabad,244,50,294
2018,Indore,233,42,275
2018,Kanpur,777,133,910
2018,Kharagpur,1225,219,1444
2018,Madras,731,144,875
2018,Mandi,160,40,200
2018,Patna,212,37,249
2018,Jodhpur,193,39,232
2018,Roorkee,879,158,1037
2018,Ropar,259,47,306
2018,Dhanbad,837,146,983
2018,BHU,970,156,1126
2018,Palakkad,136,26,162
2018,Bhilai,103,20,123
2018,Goa,82,15,97
2018,Tirupati,150,29,179
2018,Jammu,123,25,148
2018,Dharwad,106,19,125
2019,Bhubaneswar,345,75,420
2019,Bombay,920,199,1119
2019,Delhi,873,190,1063
2019,Gandhinagar,176,36,212
2019,Guwahati,657,141,798
2019,Hyderabad,258,59,317
2019,Indore,234,61,295
2019,Kanpur,839,179,1018
2019,Kharagpur,"1,320",267,"1,587"
2019,Madras,798,173,971
2019,Mandi,225,57,282
2019,Patna,297,64,361
2019,Jodhpur,289,63,352
2019,Roorkee,941,197,1138
2019,Ropar,285,61,346
