Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
1,320,372,147678,0.8602150538,0.000006771489321,-5.169315802
101,246,372,147678,0.6612903226,0.0006839204215,-3.164994428
201,230,372,147678,0.6182795699,0.001361069354,-2.866119745
301,219,372,147678,0.5887096774,0.002038218286,-2.690749306
401,211,372,147678,0.5672043011,0.002715367218,-2.566171429
501,204,372,147678,0.5483870968,0.00339251615,-2.469478076
601,199,372,147678,0.5349462366,0.004069665082,-2.39044133
701,194,372,147678,0.5215053763,0.004746814014,-2.323597784
801,190,372,147678,0.5107526882,0.005423962946,-2.265683286
901,187,372,147678,0.502688172,0.006101111879,-2.214591011
1001,184,372,147678,0.4946236559,0.006778260811,-2.168881725
1101,180,372,147678,0.4838709677,0.007455409743,-2.127528483
1201,178,372,147678,0.4784946237,0.008132558675,-2.089772795
1301,175,372,147678,0.4704301075,0.008809707607,-2.055038506
1401,173,372,147678,0.4650537634,0.009486856539,-2.022877667
1501,171,372,147678,0.4596774194,0.01016400547,-1.99293511
1601,169,372,147678,0.4543010753,0.0108411544,-1.96492447
1701,167,372,147678,0.4489247312,0.01151830334,-1.938611488
1801,166,372,147678,0.4462365591,0.01219545227,-1.913802089
1901,164,372,147678,0.4408602151,0.0128726012,-1.890333685
2001,162,372,147678,0.435483871,0.01354975013,-1.868068713
2101,161,372,147678,0.4327956989,0.01422689906,-1.84688975
2201,160,372,147678,0.4301075269,0.014904048,-1.82669576
2301,158,372,147678,0.4247311828,0.01558119693,-1.807399183
2401,157,372,147678,0.4220430108,0.01625834586,-1.788923642
2501,155,372,147678,0.4166666667,0.01693549479,-1.77120211
2601,154,372,147678,0.4139784946,0.01761264372,-1.75417545
2701,153,372,147678,0.4112903226,0.01828979266,-1.737791218
2801,152,372,147678,0.4086021505,0.01896694159,-1.722002693
2901,151,372,147678,0.4059139785,0.01964409052,-1.706768073
3001,150,372,147678,0.4032258065,0.02032123945,-1.692049807
3101,149,372,147678,0.4005376344,0.02099838839,-1.677814036
3201,148,372,147678,0.3978494624,0.02167553732,-1.664030128
3301,147,372,147678,0.3951612903,0.02235268625,-1.650670278
3401,146,372,147678,0.3924731183,0.02302983518,-1.63770917
3501,145,372,147678,0.3897849462,0.02370698411,-1.625123691
3601,144,372,147678,0.3870967742,0.02438413305,-1.612892681
3701,144,372,147678,0.3870967742,0.02506128198,-1.600996717
3801,143,372,147678,0.3844086022,0.02573843091,-1.589417932
3901,142,372,147678,0.3817204301,0.02641557984,-1.578139852
4001,141,372,147678,0.3790322581,0.02709272877,-1.567147251
4101,141,372,147678,0.3790322581,0.02776987771,-1.556426033
4201,140,372,147678,0.376344086,0.02844702664,-1.545963121
4301,139,372,147678,0.373655914,0.02912417557,-1.53574636
4401,139,372,147678,0.373655914,0.0298013245,-1.525764434
4501,138,372,147678,0.3709677419,0.03047847344,-1.516006789
4601,137,372,147678,0.3682795699,0.03115562237,-1.506463569
